INDEX,FNAME,OPERATION,GROUP,AGGREGATE,MEMN,MDIM1,X1,MAXSB1,MAXSB2,MKIND,SPTRN,MSECT,MIO,OSVBAS,OSVOFF,ENG_UNITS,ENG_LTVAL11,ENG_LTVAL12,ENG_LTVAL21,ENG_LTVAL22,DESCRIPTION,MET_UNITS,MET_LTVAL11,MET_LTVAL12,MET_LTVAL21,MET_LTVAL22
2,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,CIVOL,100,1,-9,1,2,0,0,2,0,593,acft/iv,0,1,0,0.00123,Inflow of water by category,Mm3/iv,0,810.71,0,1
13,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IACID,7,1,-10,1,2,0,0,2,0,3630,lb/iv,0,1,0,0.4536,Inflows of acid chemicals,kg/iv,0,2.205,0,1
3,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,ICON,10,1,-7,1,2,0,0,2,0,2069,qty/iv,0,1,0,1,Inflow of conservative constits.,qty/iv,0,1,0,1
9,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IDNUT,4,1,4,1,2,0,0,2,0,3054,lb/iv,0,1,0,0.4536,Inflows of dissolved nutrients,kg/iv,0,2.205,0,1
6,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IDQAL,3,1,-8,1,2,0,0,2,0,2566,qty/iv,0,1,0,1,Inflow of dissolved qual,qty/iv,0,1,0,1
4,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IHEAT,1,1,1,1,2,0,0,2,0,2424,BTU/iv,0,1,0,0.252,Inflow of heat,kcl/iv,0,3.969,0,1
8,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IOX,2,1,2,1,2,0,0,2,0,2978,lb/iv,0,1,0,0.4536,Inflows of DO and BOD,kg/iv,0,2.205,0,1
12,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IPH,2,1,2,1,2,0,0,2,0,3539,lb/iv,0,1,0,0.4536,Inflows of TIC and CO2,kg/iv,0,2.205,0,1
11,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IPLK,5,1,5,1,2,0,0,2,0,3389,lb/iv,0,1,0,0.4536,Inflows of plankton related constituents,kg/iv,0,2.205,0,1
5,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,ISED,3,1,3,1,2,0,0,2,0,2467,tn/iv,0,1,0,0.907,Inflows of sediment,tne/iv,0,1.1025,0,1
10,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,ISNUT,3,2,3,2,2,0,0,2,0,3092,lb/iv,0,1,0,0.4536,Inflows of adsorbed NH4 and PO4,kg/iv,0,2.205,0,1
7,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,ISQAL,3,3,3,-8,2,0,0,2,0,2617,qty/iv,0,1,0,1,Inflows of sed-assoc qual,qty/iv,0,1,0,1
1,./HSPF90/BMPRACTS.SEQ,BMPRAC,INFLOW,SUM,IVOL,1,1,1,1,2,0,0,2,0,91,acft/iv,0,1,0,0.00123,Inflow of water,Mm3/iv,0,810.71,0,1
15,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,CIVOL,100,1,-9,1,2,0,0,0,0,693,acft/iv,0,1,0,0.00123,Inflow of water by category,Mm3/iv,0,810.71,0,1
26,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,IACID,7,1,-10,1,2,0,0,0,0,3637,lb/iv,0,1,0,0.4536,Inflows of acid chemicals,kg/iv,0,2.205,0,1
16,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,ICON,10,1,-7,1,2,0,0,0,0,2079,qty/iv,0,1,0,1,Inflow of conservative constits.,qty/iv,0,1,0,1
22,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,IDNUT,4,1,4,1,2,0,0,0,0,3058,lb/iv,0,1,0,0.4536,Inflows of dissolved nutrients,kg/iv,0,2.205,0,1
19,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,IDQAL,3,1,-8,1,2,0,0,0,0,2569,qty/iv,0,1,0,1,Inflow of dissolved qual,qty/iv,0,1,0,1
17,./HSPF90/BMPRACTS.SEQ,BMPRAC,RECEIV,SUM,IHEAT,1,1,1,1,2,0,0,0,0,2425,BTU/iv,0,1,0,0.252,Inflow of heat,kcl/iv,0,3.969,0,1
